timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461663695771867,-3,-11,-17,-3,0,-1,-2,-1
1461663695771867,5,12,17,1,-1,-2,1,4
1461663695778873,0,-1,9,4,4,1,0,3
1461663695778873,-6,-6,-5,-6,-4,-2,-3,-8
1461663695793885,-2,1,2,-3,-2,-2,-1,-3
1461663695793885,1,0,7,1,2,-1,-1,3
1461663695800889,2,1,-1,0,2,-1,0,4
1461663695800889,-1,0,1,-1,-3,0,-1,-5
1461663695816929,-3,-2,13,-2,-3,-2,0,-2
1461663695816929,0,-3,-13,-2,0,-1,0,3
1461663695818901,3,8,9,3,2,1,2,4
1461663695818901,0,-3,3,0,-2,-3,-2,-5
1461663695831909,-2,-1,-11,-2,-3,-2,-2,-4
1461663695831909,-2,-5,-3,-5,-2,-2,-3,-1
1461663695838914,4,4,-2,2,2,1,1,2
1461663695838914,-4,-3,6,-4,-4,-2,-1,-5
1461663695853926,-4,-5,2,1,-3,-1,-3,-2
1461663695853926,0,2,5,1,-2,-2,-1,2
1461663695861242,3,8,11,2,0,1,0,1
1461663695861242,0,0,-13,-3,-2,-2,-1,-2
1461663695877765,-1,-1,13,1,-1,-1,0,-1
1461663695877765,-2,-5,-14,0,3,1,1,2
1461663695879253,1,3,11,-1,-1,-3,0,0
1461663695879253,-2,-3,-7,1,0,-2,-3,-3
1461663695891776,-1,2,13,0,-1,-3,-2,-1
1461663695891776,0,0,1,-2,-2,-1,0,3
1461663695898774,-2,-5,-7,-2,0,-1,0,-2
1461663695898774,-4,-3,-4,-3,-1,-2,0,-4
1461663695914295,-2,-2,-7,-3,-3,-2,-1,-3
1461663695914295,0,-6,-15,-1,1,0,2,-1
1461663695921341,-4,-1,0,-1,0,0,0,-2
1461663695921341,-2,-1,1,-2,-4,-3,-2,-4
1461663695937829,-1,-3,-15,-4,-1,-1,-2,0
1461663695937829,0,0,10,-2,0,-1,0,0
1461663695939296,0,-2,4,0,-1,-2,0,0
1461663695939296,-1,0,2,3,1,-1,-3,-2
1461663695960344,-1,-3,-17,-4,-1,-1,-1,1
1461663695960344,-1,2,15,1,-2,-2,-2,0
1461663695961515,0,-4,-7,-1,0,1,1,1
1461663695961515,-1,-5,-9,-6,-3,-1,0,-3
1461663695982545,0,-1,7,0,-1,-1,-1,0
1461663695982545,-1,-4,-21,-4,0,0,-3,1
1461663695983545,2,2,3,-1,-2,-1,-1,-1
1461663695983545,-3,0,4,-3,-2,-2,0,-2
1461663695997542,1,1,-6,1,0,-1,0,0
1461663695997542,0,0,10,-2,-2,-2,-1,-1
1461663695998542,1,-3,-5,-3,-3,0,-1,1
1461663695998542,-3,2,7,-1,-3,-2,0,-2
1461663696010609,0,4,4,0,1,-2,-1,2
1461663696010609,-1,-10,-32,-5,-3,-2,1,0
1461663696019615,-1,3,9,-1,-1,-1,0,-2
1461663696019615,-3,1,1,1,0,0,-1,-1
1461663696034596,-2,-4,2,4,-2,1,-2,-2
1461663696034596,2,3,3,3,2,-1,0,2
1461663696041579,-2,-3,-10,-4,-1,-1,0,0
1461663696041579,-4,-4,6,-1,-3,0,-3,-4
1461663696057598,-1,1,-2,-1,-1,-1,-2,-1
1461663696057598,0,-3,-4,-2,-2,-1,-2,2
1461663696058582,-2,0,9,0,0,2,2,1
1461663696058582,-2,2,-3,2,1,0,0,-2
1461663696070652,-2,-6,-12,-3,-1,-3,-3,-4
1461663696070652,0,-1,4,-1,-3,-2,-3,-2
1461663696080600,-2,-2,3,-3,-1,-2,-2,0
1461663696080600,-3,-2,-1,0,0,0,-2,-1
1461663696094625,-1,0,-4,-4,-2,0,-1,-2
1461663696094625,-2,-4,-6,1,0,-2,-2,-1
1461663696100612,0,4,0,0,0,-2,-2,-1
1461663696100612,-1,1,3,-1,-2,-1,0,-1
1461663696124636,-2,-7,-15,-3,0,0,-1,-2
1461663696124636,1,-1,-6,3,2,-1,-2,0
1461663696126633,3,6,2,2,0,1,0,-1
1461663696126633,-8,-9,-8,-3,-4,-1,-1,-4
1461663696130649,1,-1,7,-2,0,1,0,-1
1461663696130649,1,2,-8,-2,-1,-2,-1,2
1461663696139644,1,0,6,1,0,-2,-1,-1
1461663696139644,-1,3,-4,0,2,-1,-1,-2
1461663696154680,-1,-1,6,-4,-5,-2,-1,0
1461663696154680,2,0,-3,-2,-1,-1,0,5
1461663696160660,-1,1,1,4,3,1,0,0
1461663696160660,-6,-2,-4,-1,-2,-2,-4,-9
1461663696177685,3,-2,6,3,3,0,-2,0
1461663696177685,6,0,-9,-2,-1,1,2,6
1461663696178685,-2,-4,-11,-3,-1,0,0,0
1461663696178685,-4,1,3,-1,-2,-3,0,-5
1461663696190693,0,1,8,1,-1,-2,0,-3
1461663696190693,3,1,6,-2,-2,0,-3,3
1461663696199701,-1,2,9,4,2,-1,-2,1
1461663696199701,-7,-12,-24,-5,-3,0,-1,-6
1461663696213731,0,1,-1,-2,-1,-3,-3,0
1461663696213731,3,-1,-1,-2,-3,0,-1,2
1461663696220736,-3,-3,4,3,1,-2,0,-1
1461663696220736,0,3,4,0,-1,0,-2,-5
1461663696236747,-2,-1,2,-4,-3,-2,-1,0
1461663696236747,0,0,3,-2,-1,0,1,2
1461663696243724,-1,2,-1,6,2,0,-2,-2
1461663696243724,-5,-10,-17,-4,1,-3,-2,-4
1461663696250757,0,2,5,-4,-5,-2,1,1
1461663696250757,0,4,15,5,2,-1,0,1
1461663696259725,-6,-12,-17,-10,-5,-2,1,-2
1461663696259725,-1,1,1,0,-5,-1,-1,-2
1461663696273748,1,-3,-9,1,1,1,-1,2
