timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1463381706830430,-1,-3,-5,-1,-2,-1,-1,-1
1463381706830430,1,8,3,-2,-1,-1,-2,-1
1463381706838452,-1,-8,2,-3,-2,-2,0,-1
1463381706838452,-1,-6,-2,2,0,0,0,-2
1463381706852445,-1,-1,0,3,-1,1,0,-1
1463381706852445,-1,1,6,1,-1,-2,-1,-1
1463381706867457,0,7,-1,-3,0,-1,-1,-1
1463381706867457,-2,-22,-4,0,-1,-1,-1,-1
1463381706882532,0,-6,3,7,1,-2,1,0
1463381706882532,-1,1,-15,-12,-1,0,-2,-1
1463381706890475,1,13,-2,-2,-2,0,-1,-2
1463381706890475,0,-5,4,0,-3,0,0,-1
1463381706905497,-2,-6,1,1,-1,-1,0,1
1463381706905497,0,7,-1,0,-1,-2,1,-2
1463381706912487,-1,-6,-1,-2,-1,0,0,0
1463381706912487,0,0,4,-2,-2,-2,1,0
1463381706920493,-2,1,-5,-5,-1,-1,-1,-1
1463381706920493,0,11,3,3,0,0,0,-1
1463381706927498,-2,-12,-3,0,-1,0,1,-1
1463381706927498,0,3,0,-3,-1,0,-1,0
1463381706943509,-2,-4,1,-2,-2,-1,-1,-3
1463381706943509,-2,0,-2,3,0,0,0,-1
1463381706950514,1,-1,1,4,-1,1,-1,-1
1463381706950514,-4,-1,-5,-11,-3,-2,0,-2
1463381706965525,2,-5,-4,-5,0,-1,1,0
1463381706965525,-1,0,0,0,-1,-2,0,-2
1463381706972530,1,-1,-3,1,1,-2,1,1
1463381706972530,-1,-7,3,-1,-1,-2,0,0
1463381706980536,-2,4,0,-2,-2,-1,-2,-1
1463381706980536,-2,1,2,0,-3,-2,-2,-2
1463381706987540,1,4,-2,1,0,-2,0,-3
1463381706987540,1,-1,-1,1,-1,-1,0,2
1463381707002552,-1,-4,-1,-4,-3,-1,1,-1
1463381707002552,-4,-2,2,2,-1,-1,-3,-2
1463381707010618,0,-5,-3,0,-1,1,0,0
1463381707010618,-3,15,1,-1,-1,-2,-1,-3
1463381707032602,0,-15,-4,1,0,-2,-1,-2
1463381707032602,2,1,1,0,1,-2,-1,0
1463381707055650,-1,0,1,-1,1,0,0,-1
1463381707055650,1,2,3,3,-2,0,0,-2
1463381707062655,1,-3,-2,-4,-1,1,-1,-1
1463381707062655,-2,0,-4,-1,-1,-2,-1,-1
1463381707070660,-1,-4,-1,0,-1,-1,-3,-2
1463381707070660,0,-1,1,-2,-4,1,-2,-2
1463381707100717,0,3,4,1,-2,-1,-2,0
1463381707100717,-3,-3,-5,-3,-1,0,-2,-3
1463381707115792,-2,-6,2,1,-1,-3,-3,-2
1463381707115792,-3,-6,-5,0,-1,0,-2,-2
1463381707122735,0,-2,-2,2,1,-1,0,-1
1463381707122735,0,-2,-2,-3,-3,0,-1,1
1463381707145768,-1,12,5,-2,-1,-1,-1,0
1463381707145768,-1,-6,-6,-3,-1,-1,-1,1
1463381707160768,0,5,-6,-2,1,0,0,-1
1463381707160768,1,-2,-2,-2,1,-2,1,-2
1463381707167769,-1,1,-4,-6,0,-1,-2,-1
1463381707167769,-1,-1,-1,-2,-1,1,-1,0
1463381707175831,-2,-4,-1,1,-2,-1,-4,-1
1463381707175831,-3,1,1,-2,0,-1,-1,-2
1463381707182782,1,-1,0,1,0,-1,1,1
1463381707182782,1,-13,-2,-1,-2,-2,-1,0
1463381707191781,-3,6,1,-3,-2,-1,-1,-2
1463381707191781,-4,5,5,-4,-4,-3,-2,-2
1463381707205790,-1,3,-5,1,-1,0,0,-2
1463381707205790,0,-2,-1,3,-1,-1,-2,-3
1463381707212795,0,-3,-4,0,-1,-1,0,-3
1463381707212795,1,2,-2,0,-2,-2,-2,1
1463381707220815,-2,-2,3,-6,-1,-1,0,0
1463381707220815,0,3,-1,1,-2,-1,0,-2
1463381707235880,0,-10,0,-1,-1,-1,-2,-1
1463381707235880,0,2,3,3,0,1,-1,-2
1463381707250823,1,-1,-5,-4,-2,0,-2,0
1463381707250823,-2,-5,-1,1,0,-1,0,-1
1463381707257889,-2,6,-1,0,0,0,-1,1
1463381707257889,0,-3,2,-6,-3,-2,0,-1
1463381707272997,-2,-3,1,5,-1,-1,-1,-2
1463381707272997,1,3,0,-1,0,0,-1,-3
1463381707280957,-3,-5,-3,-5,-2,1,-1,-2
1463381707280957,-2,9,-4,1,2,0,-2,-2
1463381707287948,1,-2,-2,0,0,-1,-1,-1
1463381707287948,-1,-7,-3,-4,-2,1,-1,-1
1463381707309976,0,4,-1,1,-3,-2,0,-1
1463381707309976,-2,-8,-3,0,-1,0,0,0
1463381707324982,-3,-1,-2,-2,0,-1,0,-2
1463381707324982,1,3,2,-2,-2,-3,-2,-1
1463381707340999,1,-6,-2,0,2,-1,0,0
1463381707340999,-3,-4,-1,-1,0,1,-1,-1
1463381707347999,1,2,1,0,-2,-1,-1,-1
1463381707347999,-1,2,-2,-1,-3,-1,-1,0
1463381707355052,-2,1,2,2,0,-1,-1,0
1463381707355052,0,-8,-4,-7,-2,0,-1,-2
1463381707378015,-4,-10,0,1,-2,-2,-1,-3
1463381707378015,-1,15,-3,-2,-4,-4,-1,0
1463381707393044,-3,-6,2,3,1,0,-2,0
1463381707393044,-1,-1,-2,-4,-1,-1,1,0
1463381707400049,-1,-2,1,1,-1,0,-3,-2
1463381707400049,1,2,0,-4,-2,-1,-1,0
1463381707408054,0,-1,-1,-2,-2,-2,-1,-2
1463381707408054,-1,2,5,8,1,-1,0,0
1463381707423112,0,-1,-2,-1,1,0,0,1
1463381707423112,0,2,5,-2,-1,-1,0,1
1463381707430116,-2,-5,-2,-2,-2,0,-2,-3
1463381707430116,-1,-3,0,1,-2,-2,-2,-2
1463381707438077,-1,3,0,-1,-1,-1,0,-1
1463381707438077,-2,-4,0,-2,-1,-1,0,-1
1463381707453086,-2,2,-11,-5,0,-2,0,-1
1463381707453086,-1,-1,-2,4,0,-1,-2,-2
1463381707460091,-2,-3,1,1,-2,0,-2,-2
1463381707460091,-2,1,-5,-6,-2,-2,-1,0
1463381707468133,0,5,2,2,2,1,-1,0
1463381707468133,-3,6,-4,-1,-2,-1,-2,-1
1463381707475138,-1,4,-4,-1,1,-1,-1,0
1463381707475138,-2,-5,5,2,-3,0,0,-1
1463381707483114,0,6,-1,1,0,-2,-1,-1
1463381707483114,0,-3,0,0,0,-1,-1,-2
1463381707490160,0,-2,0,0,0,0,0,0
1463381707490160,0,4,-2,-6,-3,-1,0,1
1463381707505100,-2,-11,1,0,-3,0,0,-2
1463381707505100,1,0,-3,2,-1,1,-1,0
1463381707513104,0,-2,1,0,-2,-1,0,-2
1463381707513104,0,0,2,-5,-3,-2,-1,0
1463381707520109,-4,-3,-2,1,-1,0,-1,-1
1463381707520109,1,-2,1,0,0,-2,-2,0
1463381707528115,-5,-2,-10,-7,0,0,-1,-1
1463381707528115,1,3,3,0,-2,0,-1,-1
1463381707550144,1,0,4,-1,-2,-1,-2,-2
1463381707550144,-3,-12,2,5,1,-2,-1,-1
1463381707558196,0,1,-3,-2,-2,-1,-1,-1
1463381707558196,0,0,-2,-3,-2,0,-1,2
1463381707573207,-1,8,-1,-1,-1,1,0,-1
1463381707573207,0,-8,1,-3,-2,1,-2,-3
1463381707588159,-2,-3,1,2,-3,-2,-1,-2
1463381707588159,-2,0,-3,-6,-3,-3,-1,-1
1463381707603228,0,-2,1,0,-2,-1,0,2
1463381707603228,-1,-5,-3,-1,-1,-1,1,0
1463381707610237,1,10,-1,1,0,-1,-2,-3
1463381707610237,1,7,1,0,0,0,0,1
1463381707625248,0,-1,-5,1,0,-3,-2,-1
1463381707625248,0,5,-1,-5,-2,0,-3,-2
1463381707640225,-1,-8,4,6,0,0,-1,-1
1463381707640225,-2,5,5,0,-2,-2,0,0
1463381707663239,1,1,4,3,0,-1,0,-1
1463381707663239,0,-1,-8,-1,-1,-3,0,-1
1463381707670279,-2,-13,-5,3,0,-2,-3,-1
1463381707670279,-1,4,-4,-3,-1,-1,-2,-2
1463381707678285,-1,-5,-1,-1,-3,0,1,-1
1463381707678285,-1,-6,-1,-3,-1,1,0,0
1463381707700267,-2,-3,1,-2,-3,-1,1,-2
1463381707700267,0,-1,-9,-4,0,-2,0,0
1463381707715249,0,4,0,3,1,-2,-2,0
1463381707715249,1,-4,0,-3,-4,-3,1,0
1463381707723257,-1,-1,-2,-5,-2,0,-1,1
1463381707723257,-2,-1,3,1,-2,-1,2,-2
1463381707730262,-1,-3,-6,-5,0,-1,0,-2
1463381707730262,-1,8,3,0,-3,1,-1,-2
1463381707745286,-1,-30,-5,0,1,0,0,1
1463381707745286,1,3,-2,0,-2,-1,-2,-2
1463381707753292,-1,-4,-2,1,-1,-1,0,-2
1463381707753292,-2,7,2,-1,-3,-2,-2,-2
1463381707760292,0,0,-5,-9,-2,-1,-1,-2
1463381707760292,-1,-11,4,6,-3,1,-1,0
1463381707783296,-1,6,-3,-3,-2,-1,1,-2
1463381707783296,-2,-7,-2,2,1,0,-1,-2
1463381707790339,4,3,0,0,1,0,-1,0
1463381707790339,0,-2,-1,-4,-1,-1,1,-1
1463381707798307,-2,3,4,6,0,-2,-3,-1
1463381707798307,-1,-6,-6,-5,-1,-3,0,1
1463381707820320,-2,-1,3,3,0,1,-1,-1
1463381707820320,0,4,-2,-1,-2,0,-3,-2
1463381707835332,0,-3,-7,-4,-1,-1,-3,-1
1463381707835332,0,5,6,3,-2,-2,-1,0
1463381707843339,-1,2,-2,1,-1,-2,0,-1
1463381707843339,0,-5,-7,-1,0,1,0,0
1463381707850342,-3,9,-1,-1,0,-1,0,-1
1463381707850342,0,3,0,-4,-2,-1,-1,-2
1463381707865352,0,1,-2,-2,-2,-2,-1,-2
1463381707865352,0,-6,1,3,0,-1,-1,-1
1463381707888382,-1,0,-2,-3,1,-4,0,0
1463381707888382,-2,-2,-3,-5,-2,-1,0,1
1463381707895413,0,0,-4,-2,-1,0,-2,-1
1463381707895413,0,-1,3,2,0,-1,-2,-1
1463381707910399,-1,-3,-6,-6,-1,0,-1,-1
1463381707910399,-3,-4,0,4,0,0,-1,0
1463381707925408,0,-3,0,-2,-3,-1,-1,0
1463381707925408,-1,-1,-1,-2,-2,-1,0,-1
1463381707933404,-2,5,-1,0,-1,-2,-1,-1
1463381707933404,-1,-8,-2,0,0,-1,-2,-1
1463381707940418,-2,-9,-2,2,1,-1,-3,-2
1463381707940418,-1,14,1,-6,-2,0,-1,0
1463381707962435,0,1,-2,2,1,0,0,-1
1463381707962435,0,1,2,1,-2,-2,0,0
1463381707970444,-3,-21,-9,-4,-2,0,-1,-1
1463381707970444,-2,-6,6,1,-2,0,-2,-1
1463381707977449,0,-2,-5,-2,-1,0,1,0
1463381707977449,-1,2,-4,-3,-1,-2,-1,-2
1463381707992444,-2,-1,0,1,1,0,-1,1
1463381707992444,0,-3,-3,-3,0,-2,-2,-1
1463381708007493,-3,-1,0,2,1,-3,-1,-2
1463381708007493,-3,-10,-4,0,0,-2,-2,-1
1463381708015498,0,9,3,0,-1,-2,-3,1
1463381708015498,-1,-2,0,-2,-2,0,-1,-1
1463381708022503,0,-1,0,4,0,-2,-2,0
1463381708022503,-2,-2,-3,-3,0,-1,2,-1
1463381708030509,-1,0,-6,-5,-2,-1,-2,-2
1463381708030509,-3,7,0,0,-2,-1,0,-3
1463381708045540,0,-6,-1,2,-3,-2,1,-1
1463381708045540,0,-5,-2,2,1,1,0,-1
1463381708053503,2,5,0,0,1,-2,1,1
1463381708053503,-2,0,-2,-8,1,0,-1,-3
1463381708068512,1,0,-1,-2,1,-1,-1,1
1463381708068512,-2,6,1,3,-1,-1,0,-1
1463381708075504,1,-26,3,3,1,-1,0,0
1463381708075504,1,6,2,-4,-4,-1,-1,0
1463381708083509,-1,-2,1,0,-3,-1,-2,-2
1463381708083509,-1,0,-3,4,1,-2,0,-5
1463381708090572,-1,6,3,-2,-1,-2,-2,-1
1463381708090572,1,-3,-1,-1,-2,1,-1,1
1463381708112588,1,-2,-3,1,-1,-2,-1,0
1463381708112588,-2,-5,-2,-2,-2,-2,-1,-1
1463381708120600,-4,9,-2,-6,-3,-3,-3,-4
1463381708120600,0,-4,-1,-4,-2,-2,-1,1
1463381708135611,0,2,2,-2,0,1,-2,-2
1463381708135611,-3,-6,-1,2,0,0,-1,-2
1463381708142553,-1,-3,-1,1,-2,-2,-1,1
1463381708142553,0,1,2,0,0,-2,0,1
1463381708150563,-1,-6,-4,-5,-2,0,-1,-1
1463381708150563,-1,1,0,2,-2,-1,-1,-1
1463381708165596,0,2,-2,2,0,0,0,-1
1463381708165596,-2,-7,-4,-1,2,-2,-2,-1
1463381708173603,-1,5,2,-4,1,0,-1,-1
1463381708173603,2,0,1,-2,-1,-3,0,0
1463381708187610,-4,-1,-7,-2,1,-1,0,-1
1463381708187610,-2,7,1,-1,-1,-2,0,-2
1463381708202622,-3,6,2,2,0,-1,-2,-1
1463381708202622,-2,2,0,-3,-1,-2,-1,1
1463381708210599,1,-10,3,-1,-2,-1,-1,0
1463381708210599,-2,4,-7,0,0,-1,-3,0
1463381708217618,-3,1,-1,7,0,-2,-1,-2
1463381708217618,-1,-10,1,-1,-1,-1,-1,-1
1463381708232675,-2,2,-6,-5,-3,-2,-1,0
1463381708232675,0,-11,-5,0,0,-1,-2,-1
1463381708240682,0,-2,2,-3,-2,0,-1,-2
1463381708240682,-1,-1,2,0,1,0,-2,0
1463381708247653,-2,0,1,0,-2,-3,-2,-1
1463381708247653,-1,-5,2,3,2,1,-1,0
1463381708255658,0,1,-6,-8,-2,-1,-2,-1
1463381708255658,-1,2,0,-5,-2,-2,0,1
1463381708262635,-1,-1,-1,1,0,2,-2,-3
1463381708262635,-1,-4,-6,-1,-1,-3,-2,-1
1463381708270655,-2,3,7,8,2,-1,0,-2
1463381708270655,-1,13,-1,-4,-3,0,0,1
1463381708285713,0,-5,-1,-2,-4,0,0,2
1463381708285713,0,2,-7,-3,1,-1,0,-1
1463381708300690,-3,-2,-3,-3,-3,-1,-1,-2
1463381708300690,-2,6,-2,-4,-4,-1,-2,-2
1463381708315788,-3,-21,1,4,-1,-2,-1,-2
1463381708315788,0,3,0,0,0,0,-2,-1
1463381708322768,1,3,-10,-7,-2,-1,-2,0
1463381708322768,-1,0,4,2,-2,-1,-2,-4
1463381708330834,-2,5,1,-1,1,-2,-1,-1
1463381708330834,-1,0,-1,1,0,-1,-1,-3
1463381708345809,1,1,2,1,-2,-1,1,0
1463381708345809,0,-6,4,0,-2,0,0,0
1463381708352814,1,1,-9,-6,0,0,0,1
1463381708352814,-1,0,-2,4,1,-2,0,0
1463381708360807,1,1,2,-2,-1,-1,-2,-1
1463381708360807,0,-3,0,-2,-2,0,1,0
1463381708382805,-3,0,0,2,-3,-1,-2,-2
1463381708382805,-1,4,0,-5,0,0,-2,-1
1463381708390828,-2,-8,-1,0,-2,-1,-1,-1
1463381708390828,-1,-4,2,0,0,0,-1,-1
1463381708397817,-1,-1,-1,-3,0,0,-1,-3
1463381708397817,0,-4,2,4,-1,-1,-2,-1
1463381708405822,1,-13,-4,-1,0,-1,-1,0
1463381708405822,-2,3,-1,-6,-4,-2,0,1
1463381708420832,1,-3,-2,-1,-1,0,0,-1
1463381708420832,-1,5,1,5,-1,0,0,-2
1463381708442848,0,3,-3,2,0,-1,0,3
1463381708442848,-1,-5,3,1,-2,-1,-1,-3
1463381708450854,-2,9,9,5,-1,0,-1,-2
1463381708450854,-2,-5,-8,-6,-1,-2,0,0
1463381708465865,1,-8,0,1,-1,-1,0,-1
1463381708465865,-1,3,0,5,-1,-1,-1,1
1463381708472870,0,7,-4,-2,-2,-1,0,1
1463381708472870,-1,-3,-1,-6,-4,0,-2,-2
1463381708480946,-1,5,2,-2,0,-2,-2,1
1463381708480946,-2,0,-3,1,0,-1,-1,0
1463381708495906,-2,-6,-5,-3,2,-1,0,-1
1463381708495906,-2,8,-6,-1,0,1,-1,-3
1463381708502894,-1,8,-1,-2,-2,-1,-2,0
1463381708502894,-1,-2,4,-1,-1,-1,-1,-1
1463381708510962,-1,-3,-1,4,0,-1,1,-2
1463381708510962,0,-9,-4,-4,0,-2,0,-1
1463381708517962,0,7,4,1,-1,0,-2,1
1463381708517962,0,3,-9,-8,-3,-1,-1,-1
1463381708525972,-3,-1,2,-1,-1,-1,-3,-2
1463381708525972,-1,-6,2,3,0,0,-2,-3
1463381708532926,0,9,4,3,-2,-1,0,-1
1463381708532926,-1,1,1,-1,-3,-1,1,1
1463381708547937,-2,-15,-3,0,0,-2,-1,1
1463381708547937,0,-6,-2,1,0,-1,1,1
1463381708555976,-4,1,1,-1,-2,-1,-2,-4
1463381708555976,1,-3,5,5,-1,0,-1,0
1463381708562994,-1,5,-3,-7,-2,-2,-1,-1
1463381708562994,-1,-11,-5,-4,-3,-2,-2,-1
1463381708578008,2,13,0,2,-1,-1,0,2
1463381708578008,-3,1,-2,-5,-2,-3,-2,-2
1463381708592984,-3,5,-6,-2,0,-2,0,-2
1463381708592984,-2,-8,-5,-5,1,-1,-1,-1
1463381708600970,1,14,7,1,-2,1,1,-1
1463381708600970,-1,0,-2,-3,-1,-1,-2,0
1463381708615972,-1,11,-4,3,-1,-2,-1,-1
1463381708615972,-1,-6,1,-1,-3,-1,-2,0
1463381708622977,1,-7,-4,-4,-1,-1,-1,-2
1463381708622977,-7,-9,-4,2,2,-1,0,-3
1463381708631004,2,19,3,-6,-1,-1,-1,2
1463381708631004,-3,-21,-3,0,-1,0,-1,0
1463381708653018,-1,-6,2,7,0,-1,-1,-4
1463381708653018,-1,7,-6,-3,0,-1,-2,-1
1463381708660021,4,4,3,-1,-4,-2,-1,1
1463381708660021,-9,-14,-4,-4,-4,-4,-3,-2
1463381708675024,2,0,-9,-8,-2,1,0,0
1463381708675024,3,-4,6,8,-1,0,-3,-1
1463381708683019,-4,12,-10,-19,-1,-4,-1,-3
1463381708683019,6,8,1,-2,0,-1,0,1
1463381708690035,6,5,4,7,0,-1,-1,1
1463381708690035,-22,-9,-6,-4,-3,-3,-3,-9
1463381708698040,7,-12,3,3,-1,-1,0,5
1463381708698040,-3,-2,4,0,-2,-1,-1,-3
1463381708705045,-9,12,-12,2,0,0,-2,-3
1463381708705045,14,-3,2,-6,2,0,2,7
1463381708714052,4,-4,12,4,0,0,2,-1
1463381708714052,-14,-7,-2,3,-2,0,-2,0
1463381708728089,13,-10,-21,-1,0,1,3,17
1463381708728089,7,10,16,1,-1,-1,0,-9
1463381708735094,-43,-23,-2,-6,-13,-14,-24,-37
1463381708735094,5,11,49,4,1,3,7,13
1463381708750068,31,-9,-49,10,7,6,11,32
1463381708750068,-19,-46,-9,-5,-1,-2,-3,-16
1463381708758071,-17,5,-9,-12,-3,-7,2,-36
1463381708758071,2,3,52,-2,-5,-1,-1,-3
1463381708773082,-7,-39,-47,-10,-5,-4,-16,5
1463381708773082,56,9,18,27,9,11,8,50
1463381708780088,26,4,-17,-1,5,10,13,15
1463381708780088,-57,6,-32,-18,-4,-12,-32,-73
1463381708795100,50,24,31,10,5,3,7,43
1463381708795100,39,-18,-45,-6,2,1,9,-19
1463381708803164,-4,-11,10,-3,-5,-6,-10,-18
1463381708803164,1,-18,-24,-30,-4,-2,9,29
1463381708810174,51,9,-10,-2,11,13,15,27
1463381708810174,1,-3,61,27,7,6,7,4
1463381708825119,-88,-35,-89,-26,-13,-17,-35,-59
1463381708825119,-23,27,2,11,-4,1,22,8
1463381708833129,20,51,51,3,-5,-2,-5,18
1463381708833129,-14,-53,-92,-44,-2,-1,11,-15
1463381708848199,112,63,122,19,12,10,26,88
1463381708848199,-14,-20,-15,-2,1,2,-7,-34
1463381708855142,-41,10,-94,-16,-15,-14,-26,-46
1463381708855142,77,-48,4,13,-4,-2,7,-28
1463381708863163,-124,-30,3,-27,-15,-13,9,-45
1463381708863163,34,37,41,7,12,11,24,36
1463381708870169,13,-71,-79,17,2,2,-27,35
1463381708870169,32,63,62,-10,0,1,28,77
1463381708885224,91,4,-37,11,11,9,-3,-5
1463381708885224,-67,-63,12,3,-12,-21,-37,-82
1463381708893185,-2,81,4,14,1,5,18,-4
1463381708893185,83,38,-16,-39,11,11,3,71
1463381708908243,-3,-27,-72,76,16,8,-12,34
1463381708908243,-85,-54,75,-82,-29,-36,-42,-85
1463381708915200,58,-33,-4,17,-13,-15,-26,-56
1463381708915200,40,56,11,5,2,13,4,69
1463381708923188,86,30,42,7,3,6,34,7
1463381708923188,-51,34,-2,18,17,4,-1,2
1463381708930192,-69,-12,79,-1,-1,-5,16,7
1463381708930192,106,54,-19,0,2,-9,-16,55
1463381708953210,-128,-56,12,-45,-20,-12,-7,-109
1463381708953210,73,25,-56,8,-12,-6,9,-65
1463381708960231,89,77,28,1,9,13,0,67
1463381708960231,-65,-15,-30,24,2,3,31,-5
1463381708975224,-89,-54,-2,14,1,-13,-42,-46
1463381708975224,-57,60,19,-20,-2,4,10,30
1463381708983230,127,41,1,-5,4,12,9,69
1463381708983230,32,-54,-98,16,0,2,-7,8
1463381708990248,40,27,66,-8,13,27,15,90
1463381708990248,-45,-68,7,29,-9,-9,-29,-59
1463381708998243,-128,-101,-67,-33,-8,-20,2,-87
1463381708998243,31,-26,7,-3,-11,-13,11,-39
1463381709005285,38,-6,92,5,-1,10,7,48
1463381709005285,127,55,28,35,15,10,26,96
1463381709013263,104,19,-8,5,21,46,35,127
1463381709013263,-86,-45,11,-21,-18,-12,44,-128
1463381709028302,127,50,-4,6,-7,-13,-44,48
1463381709028302,-71,0,-76,-10,-20,-29,21,-58
1463381709035306,-106,-21,58,-24,-18,-23,-64,3
1463381709035306,63,-47,-63,32,17,18,10,32
1463381709050277,91,65,86,2,20,23,2,116
1463381709050277,124,72,50,24,22,21,-3,-31
1463381709073355,-48,-73,49,-46,-22,-22,-11,-72
1463381709073355,-120,32,-9,5,-9,2,-77,38
1463381709080363,62,-38,-124,5,-4,-2,103,-4
1463381709080363,7,22,-20,-34,-7,-9,-39,42
1463381709088334,85,27,-20,-60,21,11,-15,-13
1463381709088334,-102,-11,15,54,-10,-21,-22,-82
1463381709103379,72,53,56,51,-2,-10,-56,19
1463381709103379,-37,-56,-5,-38,8,29,-6,17
1463381709110384,-32,21,-45,4,-10,-6,114,-36
1463381709110384,-86,-48,-9,-51,-20,-43,-62,-22
1463381709118355,-1,42,66,18,3,13,74,-10
1463381709118355,39,-59,-64,2,-2,-7,-29,13
1463381709125360,-77,-25,-128,-25,10,10,15,1
1463381709125360,-11,-12,126,12,9,16,2,-9
1463381709133359,100,3,-106,13,-14,-17,-77,24
1463381709133359,-62,-34,36,-37,-1,-14,-19,-29
1463381709148419,10,2,-6,-42,-9,-4,6,-16
1463381709148419,-10,9,-15,57,-17,-31,-66,-51
1463381709155415,98,50,-78,1,6,36,60,79
1463381709155415,118,9,37,13,13,15,87,-43
1463381709170379,-115,33,-41,4,9,-8,-44,-6
1463381709170379,-94,11,78,-45,-4,0,86,-21
1463381709178479,77,13,88,29,-2,-10,-39,9
1463381709178479,22,53,6,23,16,38,91,84
1463381709185546,54,-99,-37,-15,-19,-32,-17,-64
1463381709185546,-23,26,-39,36,16,28,35,107
1463381709192552,66,14,-86,-65,-12,-3,49,99
1463381709192552,-111,-19,-28,7,0,3,-51,-78
1463381709207557,14,27,57,-65,-15,-6,26,-6
