timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1458285579857693,0,-6,-7,4,11,0,-1,0
1458285579857693,-1,2,1,-4,1,-1,-1,-2
1458285579877707,0,2,6,7,5,0,-1,-2
1458285579877707,1,-5,-5,4,0,-5,-1,-2
1458285579879221,-1,3,-5,-16,-3,1,2,0
1458285579879221,-1,0,7,7,0,-3,-2,-1
1458285579891909,-4,-11,4,4,2,1,-1,0
1458285579891909,2,3,6,-2,-1,0,3,2
1458285579898914,-1,-2,-8,12,3,1,1,-1
1458285579898914,0,5,-6,-11,-3,-1,-2,0
1458285579915441,-3,-4,-8,-9,-2,-3,-4,-3
1458285579915441,-1,2,9,11,4,2,-2,-3
1458285579916942,0,-2,7,2,-5,-5,-1,-1
1458285579916942,0,-2,8,5,4,6,0,2
1458285579937946,1,0,-17,-18,-8,-5,-2,0
1458285579937946,-3,-3,2,11,3,0,-1,-1
1458285579939460,2,1,-3,-9,0,-2,0,-2
1458285579939460,-2,1,-6,-16,-13,-1,-2,-1
1458285579951972,-4,-3,10,9,4,0,-1,-2
1458285579951972,-2,-3,-17,-6,1,1,2,-1
1458285579958969,3,3,10,13,5,1,-2,1
1458285579958969,1,1,-6,-13,-2,-2,0,0
1458285579974984,-1,0,3,4,-3,-1,1,-3
1458285579974984,-4,-4,-1,1,-7,-3,-2,-2
1458285579976985,-1,4,-3,-22,-3,-1,-3,-2
1458285579976985,-1,3,1,13,-1,-2,-2,-2
1458285579997989,0,0,-10,-9,-2,-1,0,-1
1458285579997989,-1,0,8,26,6,5,0,0
1458285579999490,0,-4,-6,-20,-3,-2,1,-1
1458285579999490,-2,-2,16,6,0,-1,-1,-1
1458285580012036,-2,2,-11,-15,-2,1,-1,-2
1458285580012036,-3,-4,14,7,4,-1,-3,-2
1458285580019127,-5,-7,-13,13,-1,-1,0,-2
1458285580019127,2,2,2,-19,-5,-3,-1,1
1458285580035083,1,-1,-1,0,-4,0,-1,0
1458285580035083,-3,6,-5,-3,7,-2,-1,-1
1458285580037107,-2,-8,-4,9,2,1,0,-1
1458285580037107,-3,-7,-3,-5,-1,1,1,0
1458285580057591,2,5,18,4,1,1,2,1
1458285580057591,-2,-6,-31,-10,-11,-3,0,-2
1458285580059091,0,3,6,11,9,2,0,2
1458285580059091,-2,0,-10,1,12,3,2,0
1458285580072121,0,2,22,8,5,-1,-2,-1
1458285580072121,-1,-2,-10,-9,-10,-2,-1,0
1458285580079120,-4,-7,-13,-23,-14,-4,-2,-3
1458285580079120,-1,-1,-2,12,-1,-2,-2,-2
1458285580095618,0,2,3,16,2,0,0,-2
1458285580095618,1,-2,15,-18,0,0,1,0
1458285580097131,-3,0,-29,-5,-4,-4,-1,-2
1458285580097131,-2,-4,1,-6,-4,-4,-3,-1
1458285580118135,2,8,-5,-1,-1,-2,-1,1
1458285580118135,3,1,12,2,-2,3,0,0
1458285580119636,2,1,-3,-11,-16,-2,0,-2
1458285580119636,1,5,15,25,12,3,1,-1
1458285580132207,0,-5,3,4,22,4,0,0
1458285580132207,-4,-8,-23,8,8,0,-1,0
1458285580139179,2,4,7,-8,4,1,-1,-1
1458285580139179,-4,-3,-4,-9,-3,-4,-2,-4
1458285580155190,0,-6,-8,-1,-7,-4,-2,-4
1458285580155190,-2,5,-7,-6,4,-1,-3,-2
1458285580157163,-1,-6,12,9,8,1,0,-1
1458285580157163,-3,-1,-13,-10,-3,-1,-3,1
1458285580177842,-2,4,7,13,-2,0,-2,-3
1458285580177842,1,0,15,-12,-13,-4,-2,-1
1458285580179283,-1,1,-2,15,3,2,1,1
1458285580179283,1,-1,-18,-20,-6,-1,1,0
1458285580192328,-1,-5,-29,-12,-2,-2,0,0
1458285580192328,0,3,5,4,-3,-1,-2,-1
1458285580198813,0,-10,15,16,8,0,-3,0
1458285580198813,1,7,14,1,-1,0,0,-1
1458285580215308,-4,-10,-7,-7,-9,-1,-1,-3
1458285580215308,0,7,8,1,0,-1,-1,-2
1458285580216811,1,2,-9,-6,-1,0,-2,2
1458285580216811,0,-10,6,0,-5,-2,-1,1
1458285580237885,-1,2,2,-2,-4,-2,-3,-4
1458285580237885,0,-2,10,3,7,1,0,-1
1458285580239324,-2,-4,-22,-3,-2,-2,-3,-3
1458285580239324,0,5,1,4,-2,-1,0,1
1458285580251350,-2,-8,-3,-3,-4,-2,-1,1
1458285580251350,-1,-5,-18,-11,2,0,-2,0
1458285580261351,0,5,19,15,-6,-1,0,1
1458285580261351,-2,-2,-1,-4,2,-1,-1,-3
