timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1461661887906135,-1,-1,-4,1,-1,-1,0,1
1461661887906135,-1,-3,5,-2,-1,-1,1,-1
1461661887908135,-3,-4,1,-1,-4,-2,0,-2
1461661887908135,1,7,5,0,-2,-1,-1,0
1461661887929168,-3,-6,-13,-4,-2,-1,-1,-3
1461661887929168,-1,3,-2,-8,-3,-1,1,0
1461661887930153,-2,-6,-3,2,-2,-2,-2,0
1461661887930153,0,1,1,5,6,-2,2,-1
1461661887935166,2,6,13,0,-1,-1,-1,-1
1461661887935166,-1,-4,-12,0,-2,-1,-1,-3
1461661887944161,-2,-2,5,-5,-3,0,-1,-3
1461661887944161,-1,-3,-8,-5,-3,-1,-1,0
1461661887957183,1,2,-3,5,0,-2,1,2
1461661887957183,1,2,1,-1,-1,0,0,0
1461661887966185,-3,-7,-3,1,0,0,-2,-2
1461661887966185,0,2,-8,-3,1,-1,0,-1
1461661887980177,-3,-8,3,-1,-1,-2,-2,0
1461661887980177,0,-2,28,3,0,0,-2,0
1461661887996676,-4,-8,-34,-3,-2,-1,-1,-2
1461661887996676,-1,-2,-7,0,-1,0,-1,-4
1461661888004193,-1,5,5,-5,-2,-1,-1,1
1461661888004193,2,-5,-15,-4,-3,-1,1,3
1461661888005694,-3,0,8,4,3,0,-1,-5
1461661888005694,-3,-1,5,-3,-2,-2,-3,-5
1461661888017749,3,2,-1,0,-3,-2,1,2
1461661888017749,4,4,0,-1,0,-1,1,5
1461661888026714,-4,-3,0,-2,1,0,-2,-1
1461661888026714,-5,-4,-10,-6,-4,-4,-2,-3
1461661888040236,-2,1,12,-2,-2,-2,-2,-1
1461661888040236,3,11,-2,1,-1,-1,3,3
1461661888049226,1,4,0,-4,-2,1,-1,-1
1461661888049226,-6,-9,-6,-4,-2,-1,-2,-4
1461661888064237,-1,-2,-13,-5,-3,-2,0,-1
1461661888064237,-1,-5,-4,6,3,1,1,2
1461661888065725,0,-1,5,-1,-2,-2,-2,-2
1461661888065725,-5,-9,-7,-3,-4,-2,-3,-2
1461661888077795,0,0,3,-2,2,-2,1,-1
1461661888077795,3,2,6,2,1,-1,0,0
1461661888086740,-2,0,-3,-2,-3,-2,-2,-4
1461661888086740,-3,-5,-4,-5,-3,-3,-2,-2
1461661888100248,1,1,-3,-2,-3,-2,0,-1
1461661888100248,0,0,-3,4,1,1,0,0
1461661888109254,-3,-4,-8,-2,-3,-2,-3,-3
1461661888109254,1,1,15,-5,-2,-1,1,-1
1461661888131783,2,2,-5,4,-1,1,0,1
1461661888131783,-1,-3,-7,0,0,-1,-1,1
1461661888133284,-2,-1,-2,-2,2,0,-1,-2
1461661888133284,2,3,-17,1,0,-1,1,-2
1461661888137787,1,3,17,2,0,0,-1,1
1461661888137787,-3,-6,-1,-2,-3,-2,0,-2
1461661888146872,-2,4,0,-1,-1,0,-1,-2
1461661888146872,-2,-1,-12,-5,-3,-2,-2,-2
1461661888160402,1,-1,0,1,1,-2,0,0
1461661888160402,3,0,-4,0,-3,-1,-1,1
1461661888169393,-4,-5,-2,-1,-2,-1,-1,-2
1461661888169393,1,4,7,4,-1,-3,-1,-1
1461661888184403,-2,1,-2,-1,0,-1,-1,-1
1461661888184403,-2,-3,-8,-2,1,-2,-1,-1
1461661888185909,-1,1,5,-1,-2,-2,-1,-2
1461661888185909,-1,0,6,2,0,0,0,-1
1461661888206919,0,-3,-8,-5,-2,-2,-1,1
1461661888206919,0,2,-1,2,-1,-1,-1,0
1461661888208437,-3,-8,4,0,2,0,-2,-3
1461661888208437,-1,-3,2,1,2,0,-2,-1
1461661888220439,-1,-1,-8,-3,-2,-2,-1,-1
1461661888220439,-2,-1,-2,-3,-1,-2,-1,0
1461661888229444,-1,-2,-3,2,-1,-1,-1,-1
1461661888229444,-2,-2,-2,2,0,1,-3,-2
1461661888243953,2,-1,-3,0,-1,-1,-1,0
1461661888243953,-1,5,7,-3,-4,-3,-1,0
1461661888245443,-2,-4,-5,-1,-3,-1,-1,-2
1461661888245443,-5,-2,0,-2,1,-2,-3,-2
1461661888257950,-2,-1,7,-1,-1,-1,-2,-2
1461661888257950,-2,-4,-2,-2,-4,-1,0,-2
1461661888266957,0,2,0,-3,-3,-3,-3,-2
1461661888266957,1,5,-4,-3,-2,-2,-2,0
1461661888280466,-3,-8,-5,0,0,-1,-1,0
1461661888280466,-2,2,0,-2,-2,-1,-1,0
1461661888289474,-3,-7,-2,-6,-3,0,-1,-2
1461661888289474,0,-1,1,-1,1,-2,-2,0
1461661888304496,0,3,10,1,-1,0,0,0
1461661888304496,-1,-2,-9,-1,1,-1,-1,-1
1461661888305985,2,-2,-9,-2,-3,-2,-2,0
1461661888305985,1,0,3,-2,-2,-2,-1,0
1461661888317494,1,2,3,-4,-2,0,-1,1
1461661888317494,-3,-5,-1,-6,-4,-2,-2,-3
1461661888326999,-2,3,14,7,3,1,0,-2
1461661888326999,-2,-7,-3,-2,1,3,1,0
1461661888340049,1,0,1,4,1,1,1,1
1461661888340049,0,1,1,2,1,1,-1,0
1461661888349028,-2,0,-4,-6,-4,-4,-2,-1
1461661888349028,1,2,1,-1,-2,-2,0,0
1461661888363536,-1,-1,-3,1,0,-1,-1,-2
1461661888363536,-1,-3,1,-4,-2,0,0,0
1461661888365692,-2,-4,-13,-3,0,0,-1,-2
1461661888365692,-3,-3,-3,-2,-3,-2,-2,-1
1461661888377730,-1,1,5,-1,-3,-3,-1,-1
1461661888377730,5,5,-11,5,8,1,2,1
1461661888386675,-1,8,19,0,0,2,-1,-1
1461661888386675,-1,-6,-28,0,-2,0,-1,-1
1461661888416712,-2,-1,-6,-1,0,0,-1,0
1461661888416712,2,5,8,1,-1,-1,-1,0
1461661888418713,-5,-10,-11,3,0,0,-1,0
1461661888418713,0,-5,-3,-6,-5,-1,0,-2
1461661888423717,0,-1,9,-1,-2,-2,-1,-1
1461661888423717,-1,-6,-10,-5,-4,-1,0,-1
1461661888425718,1,2,-3,-4,-1,-1,1,-2
1461661888425718,-2,3,8,2,1,-1,0,-2
1461661888437710,-3,-6,-10,-4,-1,-2,0,-1
1461661888437710,0,4,3,-3,-5,-1,-1,0
1461661888446718,-3,-4,2,0,1,-2,-2,-2
1461661888446718,-3,0,0,0,0,0,-2,-1
1461661888459726,0,1,-3,-2,0,-2,-1,-2
1461661888459726,-2,-5,-3,0,0,-1,0,-1
1461661888468741,0,3,7,-7,-6,-2,-1,-1
1461661888468741,1,-1,1,3,5,0,1,-1
1461661888483760,-3,-1,0,2,-1,-1,-1,-1
1461661888483760,0,6,19,3,3,0,-2,-1
1461661888485756,-4,-17,-41,-10,-5,-1,-1,-1
1461661888485756,1,3,14,3,1,0,1,-1
1461661888497772,1,1,-15,-6,-2,-1,1,0
1461661888497772,-1,-9,-6,1,-3,-3,-2,-2
1461661888506762,-3,5,10,4,3,-1,0,-1
1461661888506762,-6,-2,-9,-7,-3,-1,-2,0
1461661888520788,2,0,1,0,-3,-1,-2,0
1461661888520788,-2,-4,-12,-5,0,-1,-1,-2
1461661888529775,0,0,6,-3,-5,-2,-1,-2
1461661888529775,1,0,11,13,9,1,-1,0
1461661888543810,-2,-4,-8,-2,-1,0,-1,-1
1461661888543810,-1,-1,-13,-8,-5,-2,-1,-1
1461661888545825,-4,0,10,-2,-1,-2,-3,-4
1461661888545825,3,-2,-5,9,2,-1,0,2
1461661888557834,0,1,3,5,4,1,0,0
1461661888557834,2,1,7,0,1,1,0,1
1461661888566815,1,2,5,2,-2,-1,0,-2
1461661888566815,4,8,7,0,-1,1,0,0
1461661888579824,0,-7,-7,-4,0,1,0,2
1461661888579824,-5,-6,6,4,-1,-1,-2,-3
1461661888588819,0,0,-2,-3,-1,0,-2,-1
1461661888588819,-3,0,7,-8,-9,-3,-2,-3
1461661888603828,-1,-6,0,4,5,1,0,0
1461661888603828,1,4,-3,-3,-4,-3,-1,-1
1461661888605841,-1,-3,-10,1,4,-2,-1,-2
1461661888605841,-1,-3,3,-1,-2,-3,-2,-1
1461661888617862,-1,4,7,-6,-5,-3,-2,-2
1461661888617862,-3,-5,-14,-8,-4,0,-2,-2
1461661888626845,-2,-2,-6,3,1,-2,-2,-1
1461661888626845,-1,-5,-12,-7,-3,-1,-1,-1
1461661888648864,0,5,18,2,0,-1,-1,1
1461661888648864,1,-2,-1,3,2,0,-1,-3
1461661888650862,3,1,8,6,-1,0,0,-2
1461661888650862,-4,-8,-27,-11,-5,-2,-1,-1
1461661888663876,1,-1,-7,0,0,-1,-2,0
1461661888663876,0,4,15,5,5,2,-2,-2
1461661888665877,-4,-17,-27,-7,-3,-2,-2,-1
1461661888665877,2,8,17,-16,-6,-3,0,0
1461661888677894,1,3,6,36,11,2,0,0
1461661888677894,-3,-1,-6,-6,-4,-3,-1,0
1461661888686900,-4,3,24,6,0,-2,-2,0
1461661888686900,1,0,9,5,6,2,1,2
1461661888708962,-5,-16,-38,-22,-8,-1,-2,-1
1461661888708962,-2,9,15,3,-1,-1,-2,-4
1461661888714968,5,2,-5,-3,0,0,0,-1
1461661888714968,3,7,17,0,-5,-3,-3,1
1461661888723066,1,6,8,-2,-1,1,0,0
1461661888723066,-5,-8,-6,1,-2,-2,-2,-4
1461661888730026,-3,-3,-7,-8,-2,-1,-3,-1
1461661888730026,4,3,-7,5,2,-1,0,1
1461661888738062,0,-5,-1,-5,-4,-1,0,-1
1461661888738062,-4,-5,6,-6,-2,-1,-1,-3
1461661888746027,0,2,-7,3,0,0,0,-2
1461661888746027,-3,-4,6,6,5,2,2,3
1461661888760092,-3,-4,1,-5,-3,-1,-1,-1
1461661888760092,-4,0,13,-1,-3,-1,-2,-5
1461661888769046,0,2,-7,-3,-1,-1,0,0
1461661888769046,-2,-7,-10,-3,-5,-1,1,1
1461661888783074,0,4,10,6,3,-1,0,-1
1461661888783074,-3,-3,-6,0,-1,-1,-3,-2
1461661888790081,-1,3,9,-2,-3,-2,-2,-1
1461661888790081,0,3,-2,0,-2,-1,0,-1
1461661888797083,2,0,-10,-4,-1,-3,0,0
1461661888797083,-1,4,6,-1,-2,-1,0,-2
1461661888807073,-5,-9,3,1,-2,0,-1,-3
1461661888807073,0,-3,-9,-2,-2,-3,-3,-3
1461661888820099,2,4,4,-3,-2,-1,-1,0
1461661888820099,-1,-2,-10,0,1,-1,0,0
1461661888829096,-3,-4,1,-2,-2,-1,-1,-2
1461661888829096,-1,3,6,-1,-1,-1,-1,-2
1461661888843091,-1,-2,8,0,-3,-2,-3,1
1461661888843091,-4,-10,-25,-2,1,-1,-2,1
1461661888850136,-2,5,8,1,-1,-1,-2,-4
1461661888850136,2,0,7,3,0,-1,0,0
1461661888857140,-4,-9,-17,-6,-4,-2,0,-1
1461661888857140,4,6,9,0,0,2,-1,1
1461661888874113,1,-2,-8,-2,-2,-3,-1,2
1461661888874113,4,6,3,1,0,-1,-1,0
1461661888880132,-5,-4,1,-4,-3,-2,-2,-2
1461661888880132,-1,-2,-3,2,0,-2,-3,-2
1461661888889124,-2,-5,-9,-3,-1,0,-1,-2
1461661888889124,-1,1,9,-1,-1,-3,0,1
1461661888903147,0,-5,-6,0,-3,0,0,0
1461661888903147,-3,-5,-8,-5,-3,-3,-1,-4
1461661888910139,2,4,13,2,1,-1,0,1
1461661888910139,-3,-5,-7,-4,-1,0,-2,0
1461661888917143,1,2,-11,-3,0,0,1,0
1461661888917143,-6,-3,0,-3,-1,-1,-2,-4
1461661888926149,2,0,1,0,0,0,0,2
1461661888926149,1,-4,-12,1,1,-1,0,2
1461661888940161,-1,2,15,2,1,-1,-2,-2
1461661888940161,-5,0,7,-2,-1,0,-1,-4
1461661888949167,4,5,-7,2,1,-1,0,3
1461661888949167,-5,-11,9,0,0,0,-1,-1
1461661888963177,3,3,-6,-5,-2,-2,1,3
1461661888963177,-4,-6,2,-1,-2,-3,0,1
1461661888970193,0,3,-13,-8,-2,0,0,-1
1461661888970193,-1,-3,-9,2,-2,0,-2,-4
1461661888987195,5,5,9,9,6,0,-1,0
1461661888987195,-2,-8,-7,-1,-2,1,-1,-3
1461661888992236,-2,-3,0,2,-2,-3,-2,-1
1461661888992236,5,2,0,-15,-8,-2,-2,2
1461661889000214,-9,-8,-2,-2,-3,0,-2,-2
1461661889000214,3,5,-2,5,4,0,0,-1
1461661889016215,-3,-5,-4,-2,-3,-3,-3,-2
1461661889016215,2,5,-5,2,0,-1,-1,0
1461661889023259,1,-5,3,-2,-5,-3,0,2
1461661889023259,3,2,1,-3,-1,0,-2,1
1461661889030228,-4,-6,-6,-1,0,-2,-1,-4
1461661889030228,-5,-1,13,3,3,0,-2,-1
1461661889046244,2,4,-3,0,-1,1,0,0
1461661889046244,-5,-7,-18,-7,-6,-2,0,-3
1461661889048245,-1,5,16,-1,-4,-2,-1,-2
1461661889048245,-1,-14,-34,1,6,1,-1,0
1461661889060251,-1,0,6,-11,-6,-4,-1,2
1461661889060251,1,7,12,25,15,5,1,-2
1461661889076274,-4,-1,4,-2,-2,-1,-2,-6
1461661889076274,-4,2,0,0,-1,-1,-1,-1
1461661889099288,4,4,6,-9,-5,-3,-1,4
1461661889099288,-4,2,-14,-4,-5,-2,-1,-3
1461661889100278,-4,-6,4,7,5,1,1,-4
1461661889100278,3,-3,-3,-6,-4,-3,0,-1
1461661889106280,2,-1,-4,-3,-2,-1,-3,2
1461661889106280,3,0,-11,-8,-5,-3,1,1
1461661889108294,-5,-1,0,0,-1,1,-1,-3
1461661889108294,-2,-2,-17,-1,1,0,1,0
1461661889120347,2,4,11,8,1,0,2,2
1461661889120347,-4,-14,-10,-15,-6,-2,-4,-3
1461661889129296,-1,4,-7,4,2,0,-1,-3
1461661889129296,-2,-2,9,5,1,-2,-2,1
1461661889143333,-2,1,2,-1,-2,-2,-2,-1
1461661889143333,0,4,11,-2,0,-1,0,0
1461661889150338,-1,-4,-4,-5,-4,3,-2,-1
1461661889150338,3,3,12,14,8,2,1,2
1461661889166339,1,-2,-6,-10,-1,1,1,-1
1461661889166339,-9,-2,5,10,-1,-3,-5,-6
1461661889172386,-4,-2,-6,-4,-1,-2,-2,-4
1461661889172386,4,7,12,-1,-2,-1,0,2
1461661889180334,-2,-5,-18,4,3,-1,0,2
1461661889180334,-2,-2,16,-12,-4,-2,-1,-3
1461661889189337,-2,-2,-5,-3,-3,-1,-1,-1
1461661889189337,3,-3,-20,-3,-3,0,-1,2
1461661889202345,-1,-10,-7,-10,-4,-3,-1,1
1461661889202345,-3,2,4,9,0,-1,-1,-2
1461661889211352,0,1,7,0,-1,-1,-1,-3
1461661889211352,-5,-6,-9,-10,-6,-3,-2,-2
1461661889226425,1,7,18,-19,-12,-1,-1,0
1461661889226425,2,4,-2,0,1,1,-1,-2
1461661889228399,0,-14,3,23,17,6,2,2
1461661889228399,2,3,-4,-14,-10,-2,0,-1
1461661889240390,-3,1,-3,12,10,2,0,-2
1461661889240390,-9,-6,5,-26,-21,-6,-6,-7
1461661889250382,3,8,3,16,2,1,-1,-1
1461661889250382,2,2,5,23,12,1,1,2
1461661889271399,-4,-3,0,6,2,-3,0,1
1461661889271399,1,0,-4,-2,5,2,2,-3
1461661889273400,1,-8,-14,-25,-11,-2,6,-1
1461661889273400,9,13,6,-11,-10,3,7,3
1461661889286405,-12,0,-9,-1,-3,-7,-12,-3
1461661889286405,-8,-5,-3,-1,1,-1,-9,-1
1461661889288425,-2,3,10,-10,-1,-1,4,0
1461661889288425,2,6,3,10,-5,-7,-6,-2
1461661889300433,10,-7,-26,-15,-4,-3,-5,5
1461661889300433,8,11,2,11,5,-1,0,-2
1461661889309433,-15,-9,15,-25,-13,-5,-5,-5
1461661889309433,-5,-6,-13,24,22,10,7,3
1461661889322442,-2,2,7,-5,-1,4,6,-1
1461661889322442,-8,-13,12,4,-16,-6,-6,-6
1461661889331437,5,15,0,26,18,6,3,2
1461661889331437,-2,-12,0,-7,-1,-2,-1,-4
1461661889346448,1,16,-10,-7,-4,-1,1,-2
1461661889346448,5,10,1,22,13,13,26,9
1461661889347449,-4,-16,-4,-22,-12,-3,-24,-4
1461661889347449,-7,-16,-7,-5,1,-2,-34,-6
1461661889360467,-6,-2,2,-3,-4,-18,-10,-8
1461661889360467,21,11,-7,-32,-17,-21,-11,7
1461661889375485,-7,-23,-8,10,0,-1,31,4
1461661889375485,6,10,13,-5,-1,7,1,7
1461661889382486,-2,-12,-2,-3,-10,11,20,-1
1461661889382486,-26,-2,-3,-9,7,-3,-50,-13
1461661889391499,8,19,2,-8,2,-8,-4,2
1461661889391499,-5,-18,-19,-1,-3,0,8,-1
1461661889406509,12,15,19,5,2,1,17,-1
1461661889406509,0,32,11,-26,-33,-6,47,1
1461661889408512,-20,22,-6,-29,2,5,-33,-17
1461661889408512,-2,-9,-2,68,25,2,-6,-4
1461661889429507,23,-21,3,-38,6,7,41,8
1461661889429507,-2,-127,-6,41,26,27,6,8
1461661889430509,24,-100,-2,29,8,-13,-31,5
1461661889430509,-20,-113,13,-18,-8,-42,-29,-4
1461661889442529,-27,-38,-7,32,3,0,-37,-24
1461661889442529,-10,-11,-7,-21,-2,26,55,5
1461661889451522,32,27,-6,-22,-3,18,-11,24
1461661889451522,-12,-19,-16,-40,-30,-18,22,2
1461661889466546,27,18,-11,-51,-27,-17,-36,15
1461661889466546,-16,-14,29,8,-15,-35,-13,-16
1461661889467534,-10,8,17,48,32,17,-10,-6
1461661889467534,11,19,-2,15,10,19,7,-12
1461661889480542,-10,46,35,-37,-15,-2,32,-1
1461661889480542,5,12,-50,85,82,33,12,3
1461661889488578,-4,47,-5,-48,-38,-17,-20,-12
1461661889488578,-3,24,-32,10,9,10,42,9
1461661889502570,13,54,13,-14,20,42,34,9
1461661889502570,3,103,20,6,-26,-36,-82,-13
1461661889511564,-9,-23,-11,30,3,-24,76,20
1461661889511564,28,109,9,-21,-8,8,-29,9
1461661889526633,-38,-33,-23,12,-6,-20,-48,-12
1461661889526633,0,54,2,-8,-4,-17,-51,-25
1461661889527606,-5,56,1,-42,-22,7,20,-13
1461661889527606,-18,30,8,-35,-19,10,14,-2
1461661889539641,12,-26,-18,50,26,8,16,29
1461661889539641,0,-39,1,-41,-25,-50,-10,2
1461661889548615,5,-18,-20,-13,-13,-17,-17,-6
1461661889548615,22,24,27,-6,4,11,4,-9
1461661889562625,2,17,-17,-18,-12,24,21,-3
1461661889562625,-49,-59,-17,-4,6,19,-21,-18
1461661889571607,8,-7,49,34,7,-27,-7,4
1461661889571607,13,-22,9,14,3,-8,-6,3
1461661889585632,-11,13,-32,4,-3,2,64,0
1461661889585632,11,53,1,-68,-23,38,0,17
1461661889593683,-1,56,30,32,12,-1,-41,-34
1461661889593683,8,48,38,15,-9,-38,-38,2
1461661889599642,12,0,-16,-13,1,-30,-20,10
1461661889599642,-19,-34,-6,2,10,7,40,5
1461661889608649,10,26,31,-54,-18,39,48,-9
1461661889608649,15,15,-15,61,21,4,-59,-17
1461661889622705,-20,-26,-8,0,-6,-42,-10,8
1461661889622705,-17,-55,-6,-23,-12,3,1,5
1461661889631649,-17,-41,-36,29,26,4,3,-10
1461661889631649,17,31,8,-81,-40,-13,-6,-12
1461661889645720,-9,-65,-7,32,7,10,-32,-2
1461661889645720,26,18,19,31,19,0,23,9
