timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1448711446667268,0,-3,8,-1,-1,-1,1,-2
1448711446667268,0,2,-22,-4,-2,0,0,1
1448711446674274,-1,1,9,-3,0,-1,-1,0
1448711446674274,-1,-1,2,0,-1,-3,0,1
1448711446690785,-4,-6,-19,-4,0,-2,-3,-2
1448711446690785,-3,3,12,2,0,0,0,-1
1448711446692286,-2,-2,3,2,-1,0,-2,0
1448711446692286,0,-4,-19,-1,-2,-2,-2,-1
1448711446713301,1,0,-2,-1,-1,-2,-1,-1
1448711446713301,1,-4,0,-4,-1,0,-1,-1
1448711446714802,-1,1,6,-3,-2,-1,1,0
1448711446714802,1,-1,6,-1,-2,-1,1,0
1448711446728312,-4,1,6,1,0,1,1,0
1448711446728312,-1,0,-4,0,0,-1,-1,-1
1448711446734316,-1,0,-2,-5,-2,-2,-2,-2
1448711446734316,0,-2,-5,-3,-2,0,-1,-1
1448711446750828,0,1,-3,-3,-1,-1,-1,0
1448711446750828,-3,-6,-1,-3,-2,-2,-4,-2
1448711446752329,-3,3,6,5,3,-3,-1,0
1448711446752329,-1,-2,7,2,0,0,1,-1
1448711446773344,-2,-1,-15,-3,0,-1,0,-1
1448711446773344,0,-2,-2,-4,-2,0,-1,-1
1448711446774845,3,1,-2,1,-1,0,0,-2
1448711446774845,1,0,17,2,2,0,-1,0
1448711446787355,0,-3,-5,-1,-1,-4,-2,-2
1448711446787355,0,0,8,1,1,-2,0,0
1448711446795860,-2,-4,-8,-2,-1,-4,-3,-2
1448711446795860,-1,2,-10,0,-2,0,0,-1
1448711446810871,-2,-2,13,0,-2,-2,0,-1
1448711446810871,0,-7,-36,-5,-2,-2,-1,-1
1448711446812372,0,-2,7,1,0,-1,1,0
1448711446812372,-3,1,4,-3,-1,-2,-1,0
1448711446833387,0,3,7,-2,-1,-1,-1,-2
1448711446833387,-5,-2,-2,-2,0,-1,-1,-3
1448711446834887,2,-4,-11,-1,-2,1,-1,0
1448711446834887,0,-5,-10,-3,0,-1,-2,2
1448711446846897,-2,-4,-2,-1,-3,-1,-2,-2
1448711446846897,-1,-2,-1,-1,-2,0,-2,-1
1448711446855902,0,2,16,3,-1,2,0,-1
1448711446855902,-2,-1,-14,-3,-1,-1,0,-1
